filename, language, HTML, JSON, log, Markdown, JavaScript, CSS, Ignore, comment, blank, total
.eslintignore, Ignore, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
.eslintrc.json, JSON, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
README.md, Markdown, 0, 0, 0, 65, 0, 0, 0, 0, 12, 77
app.js, JavaScript, 0, 0, 0, 0, 10, 0, 0, 3, 2, 15
index.html, HTML, 45, 0, 0, 0, 0, 0, 0, 1, 2, 48
logs\access.log, log, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
logs\err.log, log, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
logs\out.log, log, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
package-lock.json, JSON, 0, 7919, 0, 0, 0, 0, 0, 0, 1, 7920
package.json, JSON, 0, 61, 0, 0, 0, 0, 0, 0, 1, 62
pm2.conf.json, JSON, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
src\config\db.js, JavaScript, 0, 0, 0, 0, 39, 0, 0, 7, 9, 55
src\config\env.js, JavaScript, 0, 0, 0, 0, 7, 0, 0, 3, 3, 13
src\config\error.js, JavaScript, 0, 0, 0, 0, 8, 0, 0, 4, 5, 17
src\config\index.js, JavaScript, 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
src\config\keys.js, JavaScript, 0, 0, 0, 0, 6, 0, 0, 3, 2, 11
src\config\session.js, JavaScript, 0, 0, 0, 0, 15, 0, 0, 6, 5, 26
src\config\types.js, JavaScript, 0, 0, 0, 0, 8, 0, 0, 3, 3, 14
src\controller\cart.js, JavaScript, 0, 0, 0, 0, 78, 0, 0, 35, 7, 120
src\controller\coupon.js, JavaScript, 0, 0, 0, 0, 79, 0, 0, 26, 7, 112
src\controller\farm.js, JavaScript, 0, 0, 0, 0, 124, 0, 0, 26, 8, 158
src\controller\goods.js, JavaScript, 0, 0, 0, 0, 102, 0, 0, 26, 8, 136
src\controller\order.js, JavaScript, 0, 0, 0, 0, 85, 0, 0, 24, 6, 115
src\controller\socket.js, JavaScript, 0, 0, 0, 0, 34, 0, 0, 15, 6, 55
src\controller\supplier.js, JavaScript, 0, 0, 0, 0, 182, 0, 0, 55, 17, 254
src\controller\user.js, JavaScript, 0, 0, 0, 0, 181, 0, 0, 81, 20, 282
src\core\init.js, JavaScript, 0, 0, 0, 0, 82, 0, 0, 38, 12, 132
src\core\redis.js, JavaScript, 0, 0, 0, 0, 37, 0, 0, 14, 6, 57
src\core\socket.js, JavaScript, 0, 0, 0, 0, 206, 0, 0, 40, 18, 264
src\core\validator.js, JavaScript, 0, 0, 0, 0, 231, 0, 0, 96, 21, 348
src\db\model\Coupon\coupon_history.js, JavaScript, 0, 0, 0, 0, 33, 0, 0, 4, 4, 41
src\db\model\Coupon\coupon_info.js, JavaScript, 0, 0, 0, 0, 33, 0, 0, 20, 4, 57
src\db\model\Farm\crop_info.js, JavaScript, 0, 0, 0, 0, 32, 0, 0, 4, 5, 41
